dialogue_id,turn_idx,participant,utterance
1,1,SYSTEM,"Bonjour, Clinique Dentaire Saint-Michel. Comment puis-je vous aider ?"
1,2,USER,"Bonjour, j'ai mal à une dent depuis hier soir."
1,3,SYSTEM,"Je suis désolé d'apprendre cela. Sur une échelle de 1 à 10, comment évalueriez-vous votre douleur actuellement ?"
1,4,USER,"C'est un 5 environ, c'est supportable mais gênant."
1,5,SYSTEM,"D'accord. Je vous recommande un contrôle pour vérifier ça. Nous avons une disponibilité jeudi à 10h ou vendredi à 9h avec le Dr. Martin. Lequel vous conviendrait ?"
1,6,USER,"Jeudi à 10h."
1,7,SYSTEM,"C'est noté pour jeudi 12 mars à 10h avec le Dr. Martin. À jeudi."
2,1,SYSTEM,"Allô, Clinique Dentaire Saint-Michel, à votre service."
2,2,USER,"Bonjour, je voudrais un rendez-vous pour une consultation d'orthodontie. Est-ce que vous prenez la MGEN en tiers payant ?"
2,3,SYSTEM,"Pour l'orthodontie, vous serez suivi par le Dr. Dupont. Nous acceptons la mutuelle MGEN en tiers payant. Pourriez-vous me donner votre numéro de contrat afin que je vérifie la couverture ?"
2,4,USER,"Mon numéro est 234567890."
2,5,SYSTEM,"Très bien. Le Dr. Dupont a une disponibilité vendredi à 10h ou lundi prochain à 11h. Lequel vous conviendrait ?"
2,6,USER,"Vendredi à 10h."
2,7,SYSTEM,"Parfait, c'est noté pour vendredi 13 mars à 10h avec le Dr. Dupont. Nous vérifierons votre couverture MGEN à votre arrivée. À vendredi."
3,1,SYSTEM,"Clinique Dentaire Saint-Michel, bonjour."
3,2,USER,"Franchement c'est n'importe quoi votre truc, ça fait 10 minutes que ça sonne dans le vide, j'en peux plus !"
3,3,SYSTEM,"Je comprends votre frustration et je m'en excuse sincèrement. Souhaitez-vous que je vous transfère vers notre secrétariat, ou puis-je vous aider directement ?"
3,4,USER,"Oui transférez-moi, j'en ai marre."
3,5,SYSTEM,"Bien sûr. Je vous transfère vers notre secrétariat. Je leur signale que vous avez rencontré des difficultés pour nous joindre. Veuillez patienter."
4,1,SYSTEM,"Allô, Clinique Dentaire Saint-Michel."
4,2,USER,"Bonjour, j'aimerais prendre rendez-vous pour un détartrage."
4,3,SYSTEM,"Très bien. Nous avons une disponibilité jeudi à 15h ou vendredi à 16h avec le Dr. Martin. Lequel vous conviendrait ?"
4,4,USER,"Vendredi à 16h s'il vous plaît."
4,5,SYSTEM,"C'est noté pour vendredi 13 mars à 16h. À vendredi."
5,1,SYSTEM,"Clinique Dentaire Saint-Michel, comment puis-je vous aider ?"
5,2,USER,"Depuis ce matin j'ai du mal à mâcher du côté droit, ça me lance jusqu'à l'oreille et ma gencive est un peu gonflée."
5,3,SYSTEM,"Ce que vous décrivez ressemble à une douleur dentaire irradiante, possiblement avec une inflammation. Sur une échelle de 1 à 10, comment évalueriez-vous cette gêne ?"
5,4,USER,"Quand je mâche c'est au moins un 7, au repos c'est un 3 ou 4."
5,5,SYSTEM,"Avec une douleur à 7 à la mastication et un gonflement, je vous recommande un créneau d'urgence. Nous avons aujourd'hui mercredi à 17h30 avec le Dr. Martin ou demain jeudi à 9h avec le Dr. Dupont. Lequel préférez-vous ?"
5,6,USER,"Aujourd'hui à 17h30."
5,7,SYSTEM,"C'est confirmé pour aujourd'hui à 17h30 avec le Dr. Martin. Évitez de mâcher du côté droit en attendant. À tout à l'heure."
6,1,SYSTEM,"Allô, Clinique Dentaire Saint-Michel, que puis-je faire pour vous ?"
6,2,USER,"Bonjour, j'ai une rage de dents terrible depuis 2 jours, je n'ai presque pas dormi."
6,3,SYSTEM,"Je suis désolé. Sur une échelle de 1 à 10, comment évalueriez-vous votre douleur ?"
6,4,USER,"C'est un 8, vraiment insupportable."
6,5,SYSTEM,"Avec une douleur à 8, je vous propose un créneau d'urgence : aujourd'hui à 17h30 avec le Dr. Martin ou à 18h avec le Dr. Lefèvre. Lequel préférez-vous ?"
6,6,USER,"17h30 avec le Dr. Martin."
6,7,SYSTEM,"C'est confirmé pour aujourd'hui mercredi à 17h30 avec le Dr. Martin. Bon courage en attendant."
7,1,SYSTEM,"Clinique Dentaire Saint-Michel, bonjour."
7,2,USER,"Bonjour, je préférerais parler à une secrétaire s'il vous plaît."
7,3,SYSTEM,"Bien sûr. Je vous transfère vers notre secrétariat. Veuillez patienter."
7,4,USER,"Merci."
8,1,SYSTEM,"Allô, Clinique Dentaire Saint-Michel."
8,2,USER,"Bonjour, est-ce que vous prenez la mutuelle Swiss Life en tiers payant ?"
8,3,SYSTEM,"Malheureusement, nous ne pratiquons pas le tiers payant avec Swiss Life. Vous pouvez tout à fait consulter chez nous : vous réglez la consultation sur place et transmettez la feuille de soins à Swiss Life pour remboursement. Souhaitez-vous prendre rendez-vous malgré tout ?"
8,4,USER,"Ah dommage. Je vais y réfléchir, merci."
8,5,SYSTEM,"Je comprends. N'hésitez pas à rappeler si vous changez d'avis. Bonne journée."
9,1,SYSTEM,"Clinique Dentaire Saint-Michel, comment puis-je vous aider ?"
9,2,USER,"Non non, je n'ai pas vraiment mal, c'est juste une petite gêne, rien de grave je pense."
9,3,SYSTEM,"D'accord. Pourriez-vous tout de même me préciser cette gêne ? Sur une échelle de 1 à 10, comment l'évalueriez-vous ?"
9,4,USER,"C'est vraiment léger, un 2 peut-être. Enfin... en fait surtout la nuit ça me réveille, c'est quand même assez fort."
9,5,SYSTEM,"La douleur nocturne est souvent signe d'une inflammation. Sur une échelle de 1 à 10, comment évalueriez-vous la douleur la nuit ?"
9,6,USER,"La nuit c'est facilement un 8, ça pulse."
9,7,SYSTEM,"Avec une douleur nocturne à 8, je vous recommande un créneau d'urgence. Nous avons aujourd'hui à 17h30 avec le Dr. Martin ou demain jeudi à 9h avec le Dr. Dupont. Lequel préférez-vous ?"
9,8,USER,"Demain à 9h."
9,9,SYSTEM,"C'est noté pour demain jeudi à 9h avec le Dr. Dupont. Essayez de dormir légèrement surélevé en attendant. À demain."
10,1,SYSTEM,"Allô, Clinique Dentaire Saint-Michel, que puis-je faire pour vous ?"
10,2,USER,"Bonjour, j'ai une question : à quelle fréquence faut-il faire un détartrage ?"
10,3,SYSTEM,"En général, un détartrage est recommandé tous les 6 à 12 mois, selon votre hygiène bucco-dentaire et votre tendance au tartre. Souhaitez-vous prendre rendez-vous pour un détartrage ?"
10,4,USER,"Non c'était juste pour savoir. Merci."
10,5,SYSTEM,"Je vous en prie. N'hésitez pas à rappeler si besoin. Bonne journée."
11,1,SYSTEM,"Clinique Dentaire Saint-Michel, bonjour."
11,2,USER,"Bonjour, je voudrais annuler mon rendez-vous de vendredi avec le Dr. Lefèvre et le replanifier la semaine prochaine."
11,3,SYSTEM,"C'est noté, votre rendez-vous de vendredi avec le Dr. Lefèvre est annulé. La semaine prochaine, il a une disponibilité lundi à 10h ou mardi à 15h. Lequel vous conviendrait ?"
11,4,USER,"Mardi à 15h."
11,5,SYSTEM,"Parfait, c'est replanifié pour mardi 17 mars à 15h avec le Dr. Lefèvre. Bonne journée."
12,1,SYSTEM,"Allô, Clinique Dentaire Saint-Michel, que puis-je faire pour vous ?"
12,2,USER,"J'ai une douleur horrible à la mâchoire depuis 2 jours, je ne peux plus dormir. Est-ce que vous prenez Generali ? J'ai besoin d'un rendez-vous en urgence."
12,3,SYSTEM,"Je suis désolé pour votre douleur. Sur une échelle de 1 à 10, comment l'évalueriez-vous ? Concernant Generali, nous ne pratiquons malheureusement pas le tiers payant avec cette mutuelle. Vous pouvez toutefois consulter chez nous et transmettre la feuille de soins pour remboursement."
12,4,USER,"C'est un 9. Tant pis pour Generali, je veux juste qu'on me soigne vite."
12,5,SYSTEM,"Avec une douleur à 9, je vous propose un créneau d'urgence : aujourd'hui à 17h30 avec le Dr. Martin ou à 18h avec le Dr. Lefèvre. Lequel préférez-vous ?"
12,6,USER,"17h30, j'arrive."
12,7,SYSTEM,"C'est confirmé pour aujourd'hui à 17h30 avec le Dr. Martin. Vous réglerez la consultation sur place et recevrez une feuille de soins pour Generali. Bon courage."
13,1,SYSTEM,"Clinique Dentaire Saint-Michel, comment puis-je vous aider ?"
13,2,USER,"Bonjour, j'ai mal à une dent depuis quelques jours et je voulais vérifier que vous prenez la mutuelle Allianz."
13,3,SYSTEM,"Je suis désolé pour votre douleur. Sur une échelle de 1 à 10, comment l'évalueriez-vous ? Nous acceptons bien Allianz en tiers payant."
13,4,USER,"La douleur c'est un 4, rien d'urgent. Mon numéro de contrat Allianz est le 456789012."
13,5,SYSTEM,"D'accord. Pour une douleur modérée, je vous recommande un contrôle. Nous avons jeudi à 10h ou vendredi à 9h avec le Dr. Martin. Lequel vous conviendrait ?"
13,6,USER,"Jeudi à 10h."
13,7,SYSTEM,"C'est noté pour jeudi 12 mars à 10h avec le Dr. Martin. Nous vérifierons votre couverture Allianz à votre arrivée. À jeudi."
14,1,SYSTEM,"Allô, Clinique Dentaire Saint-Michel."
14,2,USER,"Bonjour, j'aimerais un rendez-vous pour un contrôle de routine."
14,3,SYSTEM,"Bien sûr. Nous avons une disponibilité jeudi à 15h ou vendredi à 16h avec le Dr. Martin. Lequel vous conviendrait ?"
14,4,USER,"En fait non, laissez tomber, j'aimerais parler à quelqu'un du secrétariat s'il vous plaît."
14,5,SYSTEM,"Bien sûr. Je vous transfère vers notre secrétariat. Je leur signale que vous appeliez pour un rendez-vous de contrôle. Veuillez patienter."
14,6,USER,"Merci."
15,1,SYSTEM,"Clinique Dentaire Saint-Michel, bonjour."
15,2,USER,"Bonjour, j'ai une question un peu bête : est-ce que le brossage électrique c'est vraiment mieux ?"
15,3,SYSTEM,"Pas de question bête ! Les brosses à dents électriques sont généralement plus efficaces pour éliminer la plaque, surtout avec une tête rotative. L'essentiel est de brosser au moins 2 minutes, 2 fois par jour. Est-ce que je peux vous aider pour autre chose ?"
15,4,USER,"En fait oui, depuis quelques jours j'ai une espèce de sensibilité quand je bois du froid, c'est normal ?"
15,5,SYSTEM,"Une sensibilité au froid peut avoir plusieurs causes : émail usé, carie débutante, ou récession gingivale. Sur une échelle de 1 à 10, comment évalueriez-vous cette gêne ?"
15,6,USER,"C'est un 3, pas plus. Mais ça m'inquiète un peu."
15,7,SYSTEM,"Je comprends. Pour une sensibilité légère, un contrôle permettra d'identifier la cause. Souhaitez-vous prendre rendez-vous ?"
15,8,USER,"Oui pourquoi pas. Et j'ai la mutuelle Humanis, vous la prenez ?"
15,9,SYSTEM,"Nous acceptons Humanis en tiers payant. Pourriez-vous me donner votre numéro de contrat ? En attendant, nous avons jeudi à 15h ou lundi prochain à 14h avec le Dr. Martin. Lequel vous convient ?"
15,10,USER,"Mon numéro est 678901234. Lundi à 14h ça me va."
15,11,SYSTEM,"C'est noté pour lundi 16 mars à 14h avec le Dr. Martin. Nous vérifierons votre couverture Humanis à votre arrivée. D'ici là, essayez un dentifrice pour dents sensibles. Bonne journée."
